Id,Naslov,Opis,Cena,Kategorija
ID Oglasa: #17474510,Patroni/stikovi ulozak za pistolj plasticni 7.2 i 11mm,"{'file1': 'Patroni stikovi za pistolj za plastiku, u ponudi od. .\n.7.2mm/25cm. .manji. . . . . . .20din\n.11mm/25cm. . .veci. .. . . . . . .25din\nID Oglasa: #17474510\nPrijavi', 'file2': 'Patroni stikovi za pistolj za plastiku, u ponudi od. .\n● 7.2 mm. . . . . . . .20 din\n● 11 mm. . . . . . . .25 din\nID Oglasa: #17474510\nPrijavi'}",,
ID Oglasa: #17537011,Valjci za krecenje VELUR-SUNDJER/setovi,"{'file1': 'Setovi za krecenje kao i ulosci posebno,\n.\n. mali ulozak 10cm velur . . . . . . . . .20 din\n. mali ulozak 10cm sundjer. . . . . . .20 din\n. set manji 10cm 5+1 velur. . . . .   230 din\n. set manji 10cm 5+1 sundjer. . . . .230 din\n. set veci 25cm. . . . . . . . . . . . . . . . . . . .230 din\n\n\nID Oglasa: #17537011\nPrijavi', 'file2': 'Setovi za krecenje kao i ulosci posebno,\n.\n. mali ulozak 10cm velur . . . . . . . . .19 din\n. mali ulozak 10cm sundjer. . . . . . .19 din\n. set manji 10cm 5+1 velur. . . . .   220 din\n. set manji 10cm 5+1 sundjer. . . . 220 din\n. set veci 25cm. . . . . . . . . . . . . . . . . . . .220 din\n\n\nID Oglasa: #17537011\nPrijavi'}","{'file1': '20 din\nZamena moguća', 'file2': '19 din\nZamena moguća'}",
ID Oglasa: #17480244,Super lepak 502 5grama,,"{'file1': '30 din\nZamena moguća', 'file2': '29 din\nZamena moguća'}",
ID Oglasa: #141144854,Dihtung traka za prozore/vrata gumirana D tip 34din metar,"{'file1': 'Metar 34 din. . . . kotur 1700 din\nDimenzija trake :\nŠirina 9mm x Debljina 7.5mm\nCena trake data za 1 dupli metar ( 1 m =2 m trake)\nKada poručujete imajte na umu da poručivanjem 50m dobijate dupliranu traku koju razdvajanjem dobijate 100m\nPRODAJEMO ISKLJUCIVO NA KOTUR, kada pretvorite u metar izadje Vam po ceni od 34din. . . . veoma povoljno\nCENA ZA PAKOVANJE 50m. . . .1700din\nNA STANJU BELA I BRAON\n ID Oglasa: #141144854\nPrijavi', 'file2': 'Metar 37 din. . . . kotur 1850 din\nDimenzija trake :\nŠirina 9mm x Debljina 7.5mm\nCena trake data za 1 dupli metar ( 1 m =2 m trake)\nKada poručujete imajte na umu da poručivanjem 50m dobijate dupliranu traku koju razdvajanjem dobijate 100m\nPRODAJEMO ISKLJUCIVO NA KOTUR, kada pretvorite u metar izadje Vam po ceni od 37din. . . . veoma povoljno\nCENA ZA PAKOVANJE 50m. . . .1850din\nNA STANJU BELA I BRAON\n ID Oglasa: #141144854\nPrijavi'}","{'file1': '34 din\nZamena moguća', 'file2': '37 din'}",
ID Oglasa: #17501573,Skalpeli 9mm/18mm-ulosci skalpela,"{'file1': 'Skalpeli za svakodnevnu upotrebu sa sečivom, plasticno telo, kočnica za blokiranje klizanja, u ponudi i sečiva\n\n. skalpel manji/sečivo 9mm. . . . . .40din\n. skalpel veći/sečivo 18mm. . . . . .50din\n. set sečiva 10kom od 9mm. . . . . .70din\n. set sečiva 10kom od 18mm. . . . .70din\nID Oglasa: #17501573\nPrijavi', 'file2': 'Skalpeli za svakodnevnu upotrebu sa sečivom, plasticno telo, kočnica za blokiranje klizanja, u ponudi i sečiva\n\n● skalpel manji/sečivo 9mm. . . . . .50din\n● skalpel veći/sečivo 18mm. . . . . .60din\n● set sečiva 10kom od 9mm. . . . . .70din\n● set sečiva 10kom od 18mm. . . . .70din\nID Oglasa: #17501573\nPrijavi'}","{'file1': '40 din\nZamena moguća', 'file2': '50 din\nZamena moguća'}",
ID Oglasa: #124196664,Kesa za set obavezne opreme prve pomoci za auto 500x270,,,"{'file1': 'Automobili | Oprema\n>\nObavezna oprema', 'file2': 'Auto oprema\n>\nObavezna oprema'}"
ID Oglasa: #86711203,Diht sundjer traka za prozore i vrata 5 metra/2x2.5m,,"{'file1': '50 din', 'file2': '45 din'}",
ID Oglasa: #132190965,Drzaci stakla za plafonjere,,"{'file1': '50 din\nZamena moguća', 'file2': '100 din\nZamena moguća'}",
ID Oglasa: #51031314,Brusna ploca lamelna FLUP 115x22mm,,"{'file1': '60 din\nZamena moguća', 'file2': '80 din\nZamena moguća'}",
ID Oglasa: #51856039,Brusne ploce smirgla FLUP DISC 115x22mm,"{'file1': 'Odlicne brusne ploce. . . smirgle. . za ciscenje metala, drveta i ostalo. . . . dimenzija 115x22mm. . u ponudi granulacija\n\n40. . . . . najgrublja\n60\n80. .. .. .. srednja granulacija\n100\n120. .. . najfinija\n\n\nID Oglasa: #51856039\nPrijavi', 'file2': 'Odlicne brusne ploce. . . smirgle. . za ciscenje metala, drveta i ostalo. . . . dimenzija 115x22mm. . u ponudi granulacija\n\n40. . . . . najgrublja\n60\n80. . . . . . . srednja granulacija\n100\n120. . . . najfinija\n\n\nID Oglasa: #51856039\nPrijavi'}","{'file1': '60 din\nZamena moguća', 'file2': '80 din\nZamena moguća'}",
